           Bins        Counter
      0.0000000             20
     0.10000000             19
     0.20000000             21
     0.30000000             10
     0.40000000              5
     0.50000000              1
     0.60000000              0
     0.70000000              0
     0.80000000              0
     0.90000000              0
      1.0000000              0
      1.1000000              0
      1.2000000              0
      1.3000000              0
      1.4000000              0
      1.5000000              0
      1.6000000              0
      1.7000000              0
      1.8000000              0
      1.9000000              0
