    StepLength Acceptance_rate         Energy            STD           Time 
     0.10000000     0.97886000      150.00000  6.0315660E-09      11.313503
     0.20000000     0.94860000      150.00000  6.0315660E-09      11.237655
     0.30000000     0.92267000      150.00000  6.0315660E-09      11.285242
     0.40000000     0.89397000      150.00000  6.0315660E-09      12.590223
     0.50000000     0.86582000      150.00000  6.0315660E-09      11.592029
     0.60000000     0.83838000      150.00000  6.0315660E-09      11.481848
     0.70000000     0.81650000      150.00000  6.0315660E-09      11.521728
     0.80000000     0.78642000      150.00000  6.0315660E-09      11.314092
     0.90000000     0.76307000      150.00000  6.0315660E-09      11.291658
      1.0000000     0.73402000      150.00000  6.0315660E-09      11.267154
      1.1000000     0.71118000      150.00000  6.0315660E-09      11.296837
      1.2000000     0.68432000      150.00000  6.0315660E-09      11.396696
      1.3000000     0.66246000      150.00000  6.0315660E-09      11.343268
      1.4000000     0.63916000      150.00000  6.0315660E-09      11.258897
      1.5000000     0.61446000      150.00000  6.0315660E-09      12.117457
      1.6000000     0.59086000      150.00000  6.0315660E-09      11.431141
      1.7000000     0.56980000      150.00000  6.0315660E-09      11.434784
      1.8000000     0.54628000      150.00000  6.0315660E-09      11.400210
      1.9000000     0.52447000      150.00000  6.0315660E-09      11.488319
      2.0000000     0.50387000      150.00000  6.0315660E-09      11.455414
