      Timestep Acceptance_rate         Energy            STD           Time 
     0.10000000     0.98591000      150.00000  6.0315660E-09      11.482967
     0.20000000     0.95956000      150.00000  6.0315660E-09      11.439424
     0.30000000     0.92596000      150.00000  6.0315660E-09      11.500882
     0.40000000     0.88638000      150.00000  6.0315660E-09      11.508074
     0.50000000     0.84436000      150.00000  6.0315660E-09      11.486187
     0.60000000     0.79467000      150.00000  6.0315660E-09      11.530017
     0.70000000     0.74447000      150.00000  6.0315660E-09      11.455958
     0.80000000     0.69145000      150.00000  6.0315660E-09      12.131699
     0.90000000     0.63804000      150.00000  6.0315660E-09      11.655823
      1.0000000     0.58189000      150.00000  6.0315660E-09      13.282199
      1.1000000     0.53290000      150.00000  6.0315660E-09      11.559581
      1.2000000     0.47915000      150.00000  6.0315660E-09      11.598964
      1.3000000     0.42754000      150.00000  6.0315660E-09      11.537744
      1.4000000     0.38489000      150.00000  6.0315660E-09      11.560363
      1.5000000     0.34478000      150.00000  6.0315660E-09      11.547601
      1.6000000     0.30213000      150.00000  6.0315660E-09      11.514498
      1.7000000     0.26786000      150.00000  6.0315660E-09      11.550383
      1.8000000     0.23960000      150.00000  6.0315660E-09      11.594791
      1.9000000     0.20901000      150.00000  6.0315660E-09      11.793735
      2.0000000     0.18380000      150.00000  6.0315660E-09      11.818144
