      Iteration         Energy           Time
            228      3.1725771      117.31973
            229      3.1721482      117.53802
            230      3.1727473      121.03282
            231      3.1712503      118.94752
            232      3.1696538      116.15181
            233      3.1720259      119.58717
            234      3.1723383      136.04056
            235      3.1791598      144.47119
            236      3.1708611      127.18266
            237      3.1686003      142.73123
            238      3.1711055      140.92153
            239      3.1745767      131.79621
            240      3.1726905      136.88418
            241      3.1738581      130.49198
            242      3.1713671      120.44128
            243      3.1670097      138.11716
            244      3.1723118      130.29733
            245      3.1733332      128.61180
            246      3.1702288      136.49713
            247      3.1708907      134.31250
            248      3.1672274      138.22703
            249      3.1705618      148.09417
            250      3.1660432      145.02925
            251      3.1684290      138.93626
            252      3.1655365      128.84982
            253      3.1715915      131.84963
            254      3.1698186      138.77855
            255      3.1682547      120.58204
            256      3.1684693      139.64876
            257      3.1710085      147.66414
            258      3.1646294      147.53744
            259      3.1710799      139.51974
            260      3.1664554      127.80086
            261      3.1692080      146.37649
            262      3.1665472      129.87690
            263      3.1702575      127.57941
            264      3.1720569      132.81129
            265      3.1690784      143.42994
            266      3.1707139      128.24964
            267      3.1652482      135.42274
            268      3.1683408      141.82871
            269      3.1667462      131.47567
            270      3.1723916      123.60863
            271      3.1699715      124.62304
            272      3.1706423      133.74880
            273      3.1703646      130.81797
            274      3.1673021      129.11561
            275      3.1705050      121.84544
            276      3.1668771      125.84515
            277      3.1673175      128.19710
            278      3.1694550      129.74334
            279      3.1642893      128.30608
            280      3.1725986      123.62285
            281      3.1650606      111.86024
            282      3.1675222      117.02565
            283      3.1677862      117.26437
            284      3.1678446      116.94851
            285      3.1639405      129.64688
            286      3.1694225      134.28174
            287      3.1648872      131.28771
            288      3.1641860      118.31055
            289      3.1644194      113.66761
            290      3.1706002      127.19311
            291      3.1673125      127.98389
            292      3.1691796      124.66820
            293      3.1701603      122.06897
            294      3.1668973      130.78500
            295      3.1637533      132.19652
            296      3.1636782      135.99302
            297      3.1671045      141.12812
            298      3.1676322      142.86590
            299      3.1598408      148.22577
            300      3.1611243      145.87192
            301      3.1628974      158.29374
            302      3.1645377      162.45725
            303      3.1643770      152.03917
            304      3.1670111      149.93744
            305      3.1648548      166.67579
            306      3.1627878      163.77882
            307      3.1645887      138.55212
            308      3.1636088      145.25618
