        Energy   CumulativeEnergy
      2.4142150      642.18119
      2.4142150      644.59541
      2.4142150      647.00962
      2.4142150      649.42384
      2.4142150      651.83805
      2.4142150      654.25227
      2.4142150      656.66648
      2.4142150      659.08070
      2.4142150      661.49491
      2.4142150      663.90913
      2.4142150      666.32334
      2.4142150      668.73756
      2.4142150      671.15177
      2.4142150      673.56599
      2.4142150      675.98020
      2.4142150      678.39442
      2.4142150      680.80863
      2.4142150      683.22285
      2.4142150      685.63706
      2.4142150      688.05128
      2.4142150      690.46549
      2.4142150      692.87971
      2.4142150      695.29392
      2.4142150      697.70814
      2.4142150      700.12235
      2.4142150      702.53657
      2.4142150      704.95078
      2.4142150      707.36500
      2.4142150      709.77921
      2.4142150      712.19343
      2.4142150      714.60764
      2.4142150      717.02186
      2.4142150      719.43607
      2.4142150      721.85029
      2.4142150      724.26450
      2.4142150      726.67872
      2.4142150      729.09293
      2.4142150      731.50715
      2.4142150      733.92136
      2.4142150      736.33558
      2.4142150      738.74979
      2.4142150      741.16401
      2.4142150      743.57822
      2.4142150      745.99244
      2.4142150      748.40665
      2.4142150      750.82087
      2.4142150      753.23508
      2.4142150      755.64930
      2.4142150      758.06351
      2.4142150      760.47773
      2.4142150      762.89194
      2.4142150      765.30616
      2.4142150      767.72037
      2.4142150      770.13459
      2.4142150      772.54880
      2.4142150      774.96302
      2.4142150      777.37723
      2.4142150      779.79145
      2.4142150      782.20566
      2.4142150      784.61988
      2.4142150      787.03409
      2.4142150      789.44831
      2.4142150      791.86252
      2.4142150      794.27674
      2.4142150      796.69095
      2.4142150      799.10517
      2.4142150      801.51938
      2.4142150      803.93360
      2.4142150      806.34781
      2.4142150      808.76203
      2.4142150      811.17624
      2.4142150      813.59046
      2.4142150      816.00467
      2.4142150      818.41889
      2.4142150      820.83310
      2.4142150      823.24732
      2.4142150      825.66153
      2.4142150      828.07575
      2.4142150      830.48996
      2.4142150      832.90418
      2.4142150      835.31839
      2.4142150      837.73261
      2.4142150      840.14682
      2.4142150      842.56104
      2.4142150      844.97525
      2.4142150      847.38947
      2.4142150      849.80368
      2.4142150      852.21790
      2.4142150      854.63211
      2.4142150      857.04633
      2.4142150      859.46054
      2.4142150      861.87476
      2.4142150      864.28897
      2.4142150      866.70319
      2.4142150      869.11740
      2.4142150      871.53162
      2.4142150      873.94583
      2.4142150      876.36005
      2.4142150      878.77426
      2.4142150      881.18848
      2.4142150      883.60269
      2.4142150      886.01691
      2.4142150      888.43112
      2.4142150      890.84534
      2.4142150      893.25955
      2.4142150      895.67377
      2.4142150      898.08798
      2.4142150      900.50220
      2.4142150      902.91641
      2.4142150      905.33063
      2.4142150      907.74484
      2.4142150      910.15906
      2.4142150      912.57327
      2.4142150      914.98749
      2.4142150      917.40170
      2.4142150      919.81592
      2.4142150      922.23013
      2.4142150      924.64435
      2.4142150      927.05856
      2.4142150      929.47278
      2.4142150      931.88699
      2.4142150      934.30121
      2.4142150      936.71542
      2.4142150      939.12964
      2.4142150      941.54385
      2.4142150      943.95807
      2.4142150      946.37228
      2.4142150      948.78650
      2.4142150      951.20071
      2.4142150      953.61493
      2.4142150      956.02914
      2.4142150      958.44336
      2.4142150      960.85757
      2.4142150      963.27179
      2.4142150      965.68600
      2.4142150      968.10022
      2.4142150      970.51443
      2.4142150      972.92865
      2.4142150      975.34286
      2.4142150      977.75708
      2.4142150      980.17129
      2.4142150      982.58551
      2.4142150      984.99972
