          Alpha         Energy     Derivative
     0.10000000      151.93194     -5929.9583
      6.0299583      304.77537      1919.6894
      4.1102689      390.62930      1056.9528
      3.0533161      260.26279      349.26676
      2.7040494      333.23809      103.19980
      2.6008495      288.20449      203.74851
      2.3971010      271.20124      118.33647
      2.2787646      263.01969      247.05120
      2.0317134      241.29203      197.69231
      1.8340211      212.55889      27.272127
      1.8067489      272.09651      21.369312
      1.7853796      213.63333      145.51731
      1.6398623      196.63549      34.133697
      1.6057286      212.71563      21.412102
      1.5843165      229.83116      58.692445
      1.5256241      190.53212      14.262385
      1.5113617      223.59937      62.371541
      1.4489901      195.80882      68.570663
      1.3804195      191.14756      76.774081
      1.3036454      202.11661      27.679423
      1.2759660      187.85075      52.760841
      1.2232051      174.48257      51.634710
      1.1715704      188.64630      79.704715
      1.0918657      171.49887      21.019797
      1.0708459      164.49488      74.344024
     0.99650189      167.81748      87.684689
     0.90881720      150.96832      47.787672
     0.86102953      159.44846      22.370027
     0.83865950      137.22668      189.71497
     0.64894452      131.19007      96.224905
     0.55271962      124.40727      53.687291
     0.49903233      121.40805      1.0535490
     0.49797878      121.40689     -1.1611782
