          Alpha         Energy     Derivative
     0.36049665      4.9410690     -4.3190151
     0.36481567      4.9913005     -4.8950398
     0.36971071      4.9113637     -4.4376758
     0.37414838      5.1245574     -4.0632909
     0.37821167      4.7857259     -2.6999727
     0.38091164      4.9344970     -3.2439642
     0.38415561      4.8630072     -4.3956771
     0.38855129      4.7468348     -2.8474917
     0.39139878      4.9845335     -4.1451483
     0.39554393      4.7597849     -1.9766286
     0.39752055      4.8095827     -1.9608044
     0.39948136      4.7879895     -2.5645334
     0.40204589      4.8345036     -2.2600047
     0.40430590      4.7501660     -1.4259555
     0.40573185      4.8057285     -1.7773330
     0.40750919      4.8794520     -1.8647755
     0.40937396      4.8962767     -2.1581165
     0.41153208      4.9131560     -2.2436829
     0.41377576      4.8544028     -2.7203687
     0.41649613      4.8065949     -1.6004679
     0.41809660      4.6498117     -2.3164092
     0.42041301      4.9795051     -3.3691947
     0.42378220      4.8593834     -2.0465330
     0.42582873      4.8143264     -1.1139039
     0.42694264      4.8957281     -2.5855641
     0.42952820      4.7862544     -1.4299906
     0.43095819      4.8427518     -1.6697184
     0.43262791      5.0589249     -2.7564996
     0.43538441      4.8562361     -1.5033126
     0.43688772      4.9354723     -1.7552571
     0.43864298      4.8106134     -2.0603253
     0.44070331      4.8677485     -1.4640995
     0.44216740      4.8297383     -1.1621480
     0.44332955      4.8143109     -1.4630197
     0.44479257      4.8991554     -1.7900128
     0.44658259      4.8160737     -1.3847517
     0.44796734      4.9115068     -1.4457535
     0.44941309      4.8806225     -1.2718236
     0.45068491      4.8295825    -0.92489735
     0.45160981      4.8682293    -0.99792226
     0.45260773      4.8283787     -1.1283269
     0.45373606      4.9611734     -1.8499373
     0.45558600      4.8384252    -0.81640601
     0.45640240      4.8388441    -0.85057513
